,<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
3233,SPFB.RTS-12.18,1,13/09/18,12:31,107160.0,107170.0,107110.0,107110.0,185
3234,SPFB.RTS-12.18,1,13/09/18,12:32,107100.0,107100.0,107010.0,107010.0,29
3235,SPFB.RTS-12.18,1,13/09/18,12:33,107040.0,107100.0,107020.0,107100.0,11
3236,SPFB.RTS-12.18,1,13/09/18,12:34,107080.0,107080.0,107050.0,107080.0,10
3237,SPFB.RTS-12.18,1,13/09/18,12:35,107070.0,107070.0,107060.0,107060.0,2
3238,SPFB.RTS-12.18,1,13/09/18,12:36,107030.0,107080.0,107030.0,107080.0,155
3239,SPFB.RTS-12.18,1,13/09/18,12:37,107100.0,107140.0,107100.0,107140.0,3
3240,SPFB.RTS-12.18,1,13/09/18,12:38,107140.0,107180.0,107140.0,107160.0,3
3241,SPFB.RTS-12.18,1,13/09/18,12:39,107140.0,107170.0,107110.0,107170.0,9
3242,SPFB.RTS-12.18,1,13/09/18,12:40,107170.0,107170.0,107140.0,107140.0,8
3243,SPFB.RTS-12.18,1,13/09/18,12:41,107130.0,107130.0,107120.0,107130.0,17
3244,SPFB.RTS-12.18,1,13/09/18,12:42,107130.0,107130.0,107080.0,107090.0,44
3245,SPFB.RTS-12.18,1,13/09/18,12:43,107080.0,107100.0,107080.0,107100.0,13
3246,SPFB.RTS-12.18,1,13/09/18,12:44,107090.0,107090.0,107030.0,107030.0,14
3247,SPFB.RTS-12.18,1,13/09/18,12:45,107030.0,107030.0,106980.0,107000.0,27
3248,SPFB.RTS-12.18,1,13/09/18,12:46,107020.0,107030.0,107010.0,107030.0,4
3249,SPFB.RTS-12.18,1,13/09/18,12:47,107030.0,107080.0,107030.0,107080.0,20
3250,SPFB.RTS-12.18,1,13/09/18,12:48,107090.0,107100.0,107090.0,107100.0,6
3251,SPFB.RTS-12.18,1,13/09/18,12:49,107150.0,107210.0,107150.0,107210.0,8
3252,SPFB.RTS-12.18,1,13/09/18,12:50,107200.0,107260.0,107200.0,107220.0,69
3253,SPFB.RTS-12.18,1,13/09/18,12:51,107230.0,107230.0,107210.0,107230.0,9
3254,SPFB.RTS-12.18,1,13/09/18,12:52,107240.0,107240.0,107240.0,107240.0,5
3255,SPFB.RTS-12.18,1,13/09/18,12:53,107220.0,107220.0,107220.0,107220.0,4
3256,SPFB.RTS-12.18,1,13/09/18,12:54,107250.0,107250.0,107240.0,107240.0,11
3257,SPFB.RTS-12.18,1,13/09/18,12:55,107220.0,107250.0,107220.0,107250.0,31
3258,SPFB.RTS-12.18,1,13/09/18,12:56,107220.0,107220.0,107220.0,107220.0,1
3259,SPFB.RTS-12.18,1,13/09/18,12:57,107250.0,107250.0,107250.0,107250.0,21
3260,SPFB.RTS-12.18,1,13/09/18,12:58,107250.0,107260.0,107230.0,107230.0,94
3261,SPFB.RTS-12.18,1,13/09/18,12:59,107230.0,107260.0,107230.0,107260.0,6
3262,SPFB.RTS-12.18,1,13/09/18,13:00,107240.0,107240.0,107220.0,107240.0,13
3263,SPFB.RTS-12.18,1,13/09/18,13:01,107270.0,107280.0,107270.0,107280.0,4
3264,SPFB.RTS-12.18,1,13/09/18,13:02,107280.0,107330.0,107280.0,107280.0,91
3265,SPFB.RTS-12.18,1,13/09/18,13:03,107300.0,107340.0,107300.0,107340.0,17
3266,SPFB.RTS-12.18,1,13/09/18,13:04,107310.0,107310.0,107310.0,107310.0,1
3267,SPFB.RTS-12.18,1,13/09/18,13:05,107300.0,107340.0,107300.0,107340.0,3
3268,SPFB.RTS-12.18,1,13/09/18,13:06,107350.0,107350.0,107350.0,107350.0,65
3269,SPFB.RTS-12.18,1,13/09/18,13:07,107340.0,107340.0,107340.0,107340.0,2
3270,SPFB.RTS-12.18,1,13/09/18,13:08,107280.0,107280.0,107280.0,107280.0,3
3271,SPFB.RTS-12.18,1,13/09/18,13:09,107290.0,107290.0,107290.0,107290.0,4
3272,SPFB.RTS-12.18,1,13/09/18,13:10,107300.0,107360.0,107300.0,107360.0,51
3273,SPFB.RTS-12.18,1,13/09/18,13:11,107390.0,107390.0,107300.0,107300.0,5
3274,SPFB.RTS-12.18,1,13/09/18,13:12,107320.0,107320.0,107320.0,107320.0,1
3275,SPFB.RTS-12.18,1,13/09/18,13:13,107290.0,107300.0,107290.0,107300.0,53
3276,SPFB.RTS-12.18,1,13/09/18,13:14,107280.0,107300.0,107280.0,107300.0,4
3277,SPFB.RTS-12.18,1,13/09/18,13:15,107310.0,107310.0,107310.0,107310.0,3
3278,SPFB.RTS-12.18,1,13/09/18,13:16,107330.0,107330.0,107310.0,107330.0,12
3279,SPFB.RTS-12.18,1,13/09/18,13:18,107320.0,107320.0,107320.0,107320.0,1
3280,SPFB.RTS-12.18,1,13/09/18,13:19,107300.0,107300.0,107300.0,107300.0,3
3281,SPFB.RTS-12.18,1,13/09/18,13:20,107340.0,107350.0,107340.0,107350.0,3
3282,SPFB.RTS-12.18,1,13/09/18,13:21,107290.0,107300.0,107290.0,107300.0,11
3283,SPFB.RTS-12.18,1,13/09/18,13:22,107290.0,107350.0,107290.0,107340.0,10
3284,SPFB.RTS-12.18,1,13/09/18,13:23,107350.0,107350.0,107350.0,107350.0,4
3285,SPFB.RTS-12.18,1,13/09/18,13:24,107310.0,107310.0,107310.0,107310.0,4
3286,SPFB.RTS-12.18,1,13/09/18,13:25,107340.0,107360.0,107340.0,107360.0,3
3287,SPFB.RTS-12.18,1,13/09/18,13:26,107390.0,107430.0,107380.0,107420.0,34
3288,SPFB.RTS-12.18,1,13/09/18,13:27,107380.0,107400.0,107380.0,107400.0,2
3289,SPFB.RTS-12.18,1,13/09/18,13:28,107370.0,107380.0,107360.0,107360.0,14
3290,SPFB.RTS-12.18,1,13/09/18,13:29,107380.0,107380.0,107360.0,107360.0,9
3291,SPFB.RTS-12.18,1,13/09/18,13:30,107370.0,107370.0,107360.0,107360.0,4
3292,SPFB.RTS-12.18,1,13/09/18,13:31,107360.0,107360.0,107360.0,107360.0,3
3293,SPFB.RTS-12.18,1,13/09/18,13:32,107370.0,107370.0,107370.0,107370.0,1
3294,SPFB.RTS-12.18,1,13/09/18,13:33,107350.0,107350.0,107350.0,107350.0,1
3295,SPFB.RTS-12.18,1,13/09/18,13:36,107360.0,107380.0,107360.0,107380.0,2
3296,SPFB.RTS-12.18,1,13/09/18,13:37,107380.0,107390.0,107380.0,107390.0,9
3297,SPFB.RTS-12.18,1,13/09/18,13:38,107390.0,107390.0,107390.0,107390.0,1
3298,SPFB.RTS-12.18,1,13/09/18,13:39,107400.0,107420.0,107400.0,107410.0,5
3299,SPFB.RTS-12.18,1,13/09/18,13:40,107410.0,107410.0,107410.0,107410.0,1
3300,SPFB.RTS-12.18,1,13/09/18,13:41,107420.0,107420.0,107420.0,107420.0,1
3301,SPFB.RTS-12.18,1,13/09/18,13:42,107400.0,107440.0,107400.0,107440.0,4
3302,SPFB.RTS-12.18,1,13/09/18,13:43,107420.0,107440.0,107420.0,107430.0,67
3303,SPFB.RTS-12.18,1,13/09/18,13:44,107430.0,107430.0,107390.0,107390.0,11
3304,SPFB.RTS-12.18,1,13/09/18,13:45,107370.0,107370.0,107370.0,107370.0,1
3305,SPFB.RTS-12.18,1,13/09/18,13:46,107350.0,107360.0,107330.0,107360.0,10
3306,SPFB.RTS-12.18,1,13/09/18,13:47,107330.0,107340.0,107330.0,107340.0,2
3307,SPFB.RTS-12.18,1,13/09/18,13:48,107330.0,107330.0,107330.0,107330.0,3
3308,SPFB.RTS-12.18,1,13/09/18,13:49,107320.0,107320.0,107320.0,107320.0,2
3309,SPFB.RTS-12.18,1,13/09/18,13:50,107350.0,107350.0,107350.0,107350.0,1
3310,SPFB.RTS-12.18,1,13/09/18,13:51,107320.0,107320.0,107320.0,107320.0,1
3311,SPFB.RTS-12.18,1,13/09/18,13:52,107340.0,107340.0,107330.0,107330.0,13
3312,SPFB.RTS-12.18,1,13/09/18,13:53,107350.0,107410.0,107350.0,107410.0,58
3313,SPFB.RTS-12.18,1,13/09/18,13:54,107450.0,107450.0,107450.0,107450.0,4
3314,SPFB.RTS-12.18,1,13/09/18,13:55,107460.0,107510.0,107450.0,107470.0,55
3315,SPFB.RTS-12.18,1,13/09/18,13:56,107460.0,107470.0,107450.0,107450.0,5
3316,SPFB.RTS-12.18,1,13/09/18,13:57,107480.0,107480.0,107480.0,107480.0,2
3317,SPFB.RTS-12.18,1,13/09/18,13:58,107500.0,107510.0,107490.0,107490.0,10
3318,SPFB.RTS-12.18,1,13/09/18,13:59,107450.0,107460.0,107450.0,107460.0,4
3319,SPFB.RTS-12.18,1,13/09/18,14:00,107440.0,107450.0,107430.0,107430.0,23
3320,SPFB.RTS-12.18,1,13/09/18,14:06,107550.0,107750.0,107550.0,107690.0,101
3321,SPFB.RTS-12.18,1,13/09/18,14:07,107750.0,107770.0,107730.0,107750.0,77
3322,SPFB.RTS-12.18,1,13/09/18,14:08,107750.0,107750.0,107700.0,107700.0,52
3323,SPFB.RTS-12.18,1,13/09/18,14:09,107710.0,107730.0,107660.0,107730.0,48
3324,SPFB.RTS-12.18,1,13/09/18,14:10,107740.0,107750.0,107730.0,107730.0,21
3325,SPFB.RTS-12.18,1,13/09/18,14:11,107760.0,107850.0,107760.0,107840.0,130
3326,SPFB.RTS-12.18,1,13/09/18,14:12,107860.0,107880.0,107820.0,107850.0,39
3327,SPFB.RTS-12.18,1,13/09/18,14:13,107840.0,107850.0,107820.0,107820.0,13
3328,SPFB.RTS-12.18,1,13/09/18,14:14,107800.0,107800.0,107730.0,107770.0,55
3329,SPFB.RTS-12.18,1,13/09/18,14:15,107770.0,107770.0,107770.0,107770.0,5
3330,SPFB.RTS-12.18,1,13/09/18,14:16,107790.0,107830.0,107790.0,107820.0,40
3331,SPFB.RTS-12.18,1,13/09/18,14:17,107830.0,107850.0,107810.0,107850.0,61
3332,SPFB.RTS-12.18,1,13/09/18,14:18,107810.0,107810.0,107770.0,107770.0,3
3333,SPFB.RTS-12.18,1,13/09/18,14:19,107780.0,107800.0,107770.0,107800.0,10
3334,SPFB.RTS-12.18,1,13/09/18,14:20,107760.0,107760.0,107720.0,107740.0,11
3335,SPFB.RTS-12.18,1,13/09/18,14:21,107750.0,107750.0,107720.0,107740.0,7
3336,SPFB.RTS-12.18,1,13/09/18,14:22,107790.0,107790.0,107730.0,107730.0,11
3337,SPFB.RTS-12.18,1,13/09/18,14:23,107730.0,107750.0,107730.0,107730.0,19
3338,SPFB.RTS-12.18,1,13/09/18,14:24,107750.0,107750.0,107750.0,107750.0,2
3339,SPFB.RTS-12.18,1,13/09/18,14:25,107720.0,107770.0,107720.0,107770.0,13
3340,SPFB.RTS-12.18,1,13/09/18,14:26,107760.0,107760.0,107760.0,107760.0,1
3341,SPFB.RTS-12.18,1,13/09/18,14:27,107760.0,107830.0,107760.0,107830.0,20
3342,SPFB.RTS-12.18,1,13/09/18,14:28,107860.0,107990.0,107860.0,107920.0,90
3343,SPFB.RTS-12.18,1,13/09/18,14:29,107920.0,108010.0,107920.0,107990.0,50
3344,SPFB.RTS-12.18,1,13/09/18,14:30,108020.0,108090.0,107990.0,108050.0,46
3345,SPFB.RTS-12.18,1,13/09/18,14:31,108040.0,108080.0,108000.0,108070.0,65
3346,SPFB.RTS-12.18,1,13/09/18,14:32,108070.0,108100.0,108060.0,108100.0,27
3347,SPFB.RTS-12.18,1,13/09/18,14:33,108100.0,108110.0,108060.0,108110.0,87
3348,SPFB.RTS-12.18,1,13/09/18,14:34,108110.0,108110.0,108080.0,108100.0,44
3349,SPFB.RTS-12.18,1,13/09/18,14:35,108080.0,108100.0,108040.0,108040.0,53
3350,SPFB.RTS-12.18,1,13/09/18,14:36,108000.0,108010.0,108000.0,108000.0,86
3351,SPFB.RTS-12.18,1,13/09/18,14:37,108000.0,108050.0,108000.0,108050.0,17
3352,SPFB.RTS-12.18,1,13/09/18,14:38,108070.0,108070.0,108040.0,108040.0,4
3353,SPFB.RTS-12.18,1,13/09/18,14:39,108020.0,108070.0,108020.0,108070.0,5
3354,SPFB.RTS-12.18,1,13/09/18,14:40,108040.0,108040.0,108000.0,108000.0,3
3355,SPFB.RTS-12.18,1,13/09/18,14:41,108010.0,108050.0,108000.0,108000.0,36
3356,SPFB.RTS-12.18,1,13/09/18,14:42,107980.0,107980.0,107930.0,107930.0,13
3357,SPFB.RTS-12.18,1,13/09/18,14:43,107930.0,107970.0,107930.0,107970.0,5
3358,SPFB.RTS-12.18,1,13/09/18,14:44,107970.0,107970.0,107970.0,107970.0,1
3359,SPFB.RTS-12.18,1,13/09/18,14:45,107980.0,108040.0,107980.0,108020.0,17
3360,SPFB.RTS-12.18,1,13/09/18,14:46,108020.0,108040.0,108000.0,108030.0,56
3361,SPFB.RTS-12.18,1,13/09/18,14:47,108040.0,108050.0,108040.0,108050.0,2
3362,SPFB.RTS-12.18,1,13/09/18,14:48,108080.0,108080.0,108050.0,108050.0,4
3363,SPFB.RTS-12.18,1,13/09/18,14:49,108050.0,108070.0,108000.0,108020.0,12
3364,SPFB.RTS-12.18,1,13/09/18,14:50,108000.0,108030.0,108000.0,108030.0,2
3365,SPFB.RTS-12.18,1,13/09/18,14:51,108000.0,108030.0,107980.0,107980.0,6
3366,SPFB.RTS-12.18,1,13/09/18,14:52,107990.0,107990.0,107990.0,107990.0,1
3367,SPFB.RTS-12.18,1,13/09/18,14:53,107970.0,108010.0,107970.0,108010.0,13
3368,SPFB.RTS-12.18,1,13/09/18,14:54,108000.0,108030.0,107990.0,108030.0,5
